# catalog_name|variety_name|description|sort_order
Acorn Squash|Table Ace|Compact bush; classic acorn shape|1
Acorn Squash|Honey Bear|Sweet; powdery mildew resistant|2
Acorn Squash|Cream of the Crop|Cream-colored flesh|3
Acorn Squash|Jet|Dark green; early maturing|4
American Plum|Wild Native|Seedling from local wild stock|1
American Plum|Princess|Selected wild plum with larger fruit|2
American Plum|Stanley|European-type hybrid plum|3
Arugula|Standard|Classic peppery salad rocket|1
Arugula|Slow Bolt|Holds longer in summer heat|2
Arugula|Astro|Mild flavor; fast growing|3
Arugula|Wasabi|Spicy wasabi-like bite|4
Asparagus|Mary Washington|Classic green asparagus|1
Asparagus|Jersey Knight|All-male; high yield|2
Asparagus|Purple Passion|Sweet purple spears|3
Asparagus|Millennium|Cold-hardy NE favorite|4
Astilbe|Fanal|Red plumes; compact|1
Astilbe|Bridal Veil|White flowers; shade tolerant|2
Astilbe|Visions|Compact pink; drought tolerant|3
Astilbe|Maggie Daley|Lavender-pink; late bloom|4
Autumn Joy Sedum|Autumn Joy|Classic pink-bronze fall blooms|1
Autumn Joy Sedum|Autumn Fire|Deeper red flowers|2
Autumn Joy Sedum|Matrona|Purple-tinged foliage|3
Autumn Joy Sedum|Neon|Bright pink flowers|4
Basil|Genovese|Classic Italian pesto basil|1
Basil|Thai|Anise-scented; stir-fry herb|2
Basil|Lemon|Citrus aroma; tea and fish|3
Basil|Dark Opal|Purple leaves; ornamental|4
Bee Balm|Jacob Cline|Large red; mildew resistant|1
Bee Balm|Blue Stocking|Violet-blue flowers|2
Bee Balm|Panorama Red Shades|Mixed red tones|3
Bee Balm|Grand Parade|Compact purple|4
Beet|Detroit Dark Red|Classic deep red root|1
Beet|Golden|Yellow flesh; mild flavor|2
Beet|Chioggia|Candy-striped interior|3
Beet|Bull's Blood|Dark leaves; baby greens|4
Bell Pepper|California Wonder|Blocky green bell|1
Bell Pepper|King Arthur|Large thick-walled|2
Bell Pepper|Lunchbox Mix|Mini sweet peppers|3
Bell Pepper|Carmen|Sweet Italian frying pepper|4
Black Currant|Consort|Disease-resistant black currant|1
Black Currant|Ben Sarek|Compact; heavy crop|2
Black Currant|Crusader|White pine blister rust resistant|3
Black-Eyed Susan|Goldsturm|Compact; long bloom|1
Black-Eyed Susan|Indian Summer|Large golden flowers|2
Black-Eyed Susan|Cherokee Sunset|Double bronze tones|3
Black-Eyed Susan|American Gold Rush|Powdery mildew resistant|4
Bleeding Heart|Old-Fashioned Pink|Classic arching pink hearts|1
Bleeding Heart|Alba|White flowering form|2
Bleeding Heart|Gold Heart|Golden foliage; pink flowers|3
Bok Choy|Joi Choi|Standard white stem type|1
Bok Choy|Mei Qing|Compact baby bok choy|2
Bok Choy|Pak Choi|Full-size stir-fry type|3
Bok Choy|Black Summer|Dark purple leaves|4
Brandywine Tomato|Pink|Large pink heirloom|1
Brandywine Tomato|Red|Red strain; rich flavor|2
Brandywine Tomato|Yellow|Golden Brandywine|3
Broccoli|Calabrese|Standard heading broccoli|1
Broccoli|Belstar|Compact; heat tolerant|2
Broccoli|Premium Crop|Large domed heads|3
Broccoli|Purple Sprouting|Overwintering type|4
Brussels Sprouts|Long Island Improved|Classic NE sprout|1
Brussels Sprouts|Jade Cross|Compact; uniform|2
Brussels Sprouts|Diablo|Red-tinged; cold sweet|3
Brussels Sprouts|Churchill|Early maturing|4
Butterfly Milkweed|Hello Yellow|Yellow flowers|1
Butterfly Milkweed|Gay Butterflies|Mixed orange and yellow|2
Butterfly Milkweed|Standard Orange|Native orange species|3
Butterfly Milkweed|Western|Drought-tolerant form|4
Butternut Squash|Waltham|Classic NE butternut|1
Butternut Squash|Honeybaby|Compact; small fruit|2
Butternut Squash|Burpee's Butterbush|Bush habit|3
Butternut Squash|JWS 6823|Improved storage|4
Cantaloupe|Ambrosia|Sweet orange flesh|1
Cantaloupe|Hale's Best|Heirloom muskmelon|2
Cantaloupe|Minnesota Midget|Short-season; small fruit|3
Cantaloupe|Sarah's Choice|Disease resistant|4
Carrot|Nantes|Sweet blunt-root carrot|1
Carrot|Danvers|Classic tapered NE carrot|2
Carrot|Purple Haze|Purple skin; orange core|3
Carrot|Scarlet Nantes|Early; tender|4
Catmint|Walker's Low|Low mounding; lavender blue|1
Catmint|Six Hills Giant|Taller; gray foliage|2
Catmint|Blue Wonder|Compact blue flowers|3
Catmint|Little Trudy|Dwarf; reblooms|4
Cauliflower|Snowball|White heading type|1
Cauliflower|Cheddar|Orange beta-carotene rich|2
Cauliflower|Graffiti|Purple heads|3
Cauliflower|Romanesco|Spiral green heads|4
Chamomile|German|Annual chamomile; tea herb|1
Chamomile|Roman|Perennial ground cover|2
Chamomile|Zloty Lan|Polish tea cultivar|3
Cherry Tomato|Sungold|Sweet orange cherry|1
Cherry Tomato|Sweet 100|Prolific red cherry|2
Cherry Tomato|Black Cherry|Dark heirloom cherry|3
Cherry Tomato|Yellow Pear|Teardrop yellow fruit|4
Cherry Tree|Bing|Dark sweet cherry|1
Cherry Tree|Rainier|Yellow-red sweet cherry|2
Cherry Tree|Stella|Self-fertile sweet cherry|3
Cherry Tree|Meteor|Sour pie cherry on dwarf root|4
Chives|Common|Standard onion chives|1
Chives|Garlic|Flat-leaf garlic chives|2
Chives|Fine Leaf|Delicate garnish chives|3
Cilantro|Slow Bolt|Lasts longer before flowering|1
Cilantro|Cruiser|Large leaf; bolt resistant|2
Cilantro|Leisure|Standard cilantro|3
Cilantro|Delfino|Fine ferny leaves|4
Collard Greens|Georgia|Classic Southern collard|1
Collard Greens|Champion|Slow bolting|2
Collard Greens|Flash|Smooth leaf; tender|3
Collard Greens|Vates|Dwarf; cold hardy|4
Common Sage|Berggarten|Broad silver leaves|1
Common Sage|Purpurascens|Purple sage|2
Common Sage|Tricolor|Variegated green and pink|3
Common Sage|Icterina|Golden variegated|4
Concord Grape|Standard Concord|Classic NE labrusca grape|1
Concord Grape|Seedless Concord|Seedless juice grape|2
Concord Grape|Fredonia|Early ripening Concord type|3
Coral Bells|Palace Purple|Deep purple foliage|1
Coral Bells|Fire Alarm|Bright red leaves|2
Coral Bells|Citronelle|Chartreuse foliage|3
Coral Bells|Obsidian|Near-black leaves|4
Cranberry|Stevens|Standard commercial cranberry|1
Cranberry|Howes|Native Massachusetts type|2
Cranberry|Ben Lear|Early large berries|3
Cranberry|Mullica Queen|Newer high-yield cultivar|4
Creeping Thyme|Elfin|Tiny mat; walkable|1
Creeping Thyme|Red Creeping|Crimson flowers|2
Creeping Thyme|Magic Carpet|Lemon-scented ground cover|3
Creeping Thyme|Woolly|Soft gray-green mat|4
Cucumber|Marketmore|Standard slicer|1
Cucumber|Straight Eight|Classic long cucumber|2
Cucumber|Lemon|Round yellow heirloom|3
Cucumber|Pickling (Boston)|Small pickling cukes|4
Daylily|Stella de Oro|Reblooming gold|1
Daylily|Pardon Me|Red rebloomer; compact|2
Daylily|Happy Returns|Yellow rebloomer|3
Daylily|Chicago Apache|Red single bloom|4
Delicata Squash|Cornell's Bush|Compact bush type|1
Delicata Squash|Honey Boat|Extra sweet flesh|2
Delicata Squash|Zeppelin|Uniform shape|3
Delicata Squash|Sweet Dumpling|Small single-serving|4
Dill|Bouquet|Standard dill for pickling|1
Dill|Fernleaf|Compact; container friendly|2
Dill|Mammoth|Large plants; seed harvest|3
Dill|Dukat|Slow bolting; leafy|4
Edamame|Butterbeans|Large green soybean|1
Edamame|Envy|Early maturing edamame|2
Edamame|Shirofumi|Sweet Japanese type|3
Edamame|Midori Giant|Classic garden soybean|4
Eggplant|Black Beauty|Standard purple globe|1
Eggplant|Ichiban|Long Japanese type|2
Eggplant|Rosa Bianca|Italian heirloom; mild|3
Eggplant|Ping Tung|Long lavender fruit|4
Elderberry|Adams|Standard American elderberry|1
Elderberry|Johns|Companion pollinator for Adams|2
